relationship_id,kol_id_1,kol_id_2,hcp_id_1,hcp_id_2,relationship_type,shared_topic,edge_weight,evidence_source,since_date,source_system
KREL00026,KOL0007,KOL0010,HCP0030,HCP0045,coauthored,Patient Selection,0.689,Institution directory,2023-05-26,Synthetic KOL Network
KREL00027,KOL0008,KOL0010,HCP0034,HCP0045,trial_collaboration,Safety,0.317,Speaker bureau,2023-05-12,Synthetic KOL Network
KREL00028,KOL0008,KOL0017,HCP0034,HCP0020,same_guideline_committee,Access,0.482,PubMed,2024-09-08,Synthetic KOL Network
KREL00029,KOL0009,KOL0012,HCP0038,HCP0011,conference_panel,Access,0.294,Conference abstract,2022-03-12,Synthetic KOL Network
KREL00030,KOL0009,KOL0015,HCP0038,HCP0041,institution_overlap,Safety,0.622,Speaker bureau,2022-03-25,Synthetic KOL Network
KREL00031,KOL0009,KOL0016,HCP0038,HCP0001,trial_collaboration,Safety,0.407,Institution directory,2022-11-07,Synthetic KOL Network
KREL00032,KOL0009,KOL0017,HCP0038,HCP0020,coauthored,Safety,0.533,Conference abstract,2024-05-11,Synthetic KOL Network
KREL00033,KOL0009,KOL0018,HCP0038,HCP0023,institution_overlap,Safety,0.517,PubMed,2024-05-15,Synthetic KOL Network
KREL00034,KOL0010,KOL0015,HCP0045,HCP0041,same_guideline_committee,Biomarkers,0.175,PubMed,2024-02-25,Synthetic KOL Network
KREL00035,KOL0011,KOL0013,HCP0046,HCP0019,same_guideline_committee,Real-World Evidence,0.67,Institution directory,2022-10-31,Synthetic KOL Network
KREL00036,KOL0011,KOL0015,HCP0046,HCP0041,institution_overlap,Efficacy,0.335,PubMed,2023-02-11,Synthetic KOL Network
KREL00037,KOL0011,KOL0017,HCP0046,HCP0020,trial_collaboration,Biomarkers,0.171,Conference abstract,2024-11-17,Synthetic KOL Network
KREL00038,KOL0011,KOL0018,HCP0046,HCP0023,same_guideline_committee,Safety,0.621,Institution directory,2023-10-07,Synthetic KOL Network
KREL00039,KOL0012,KOL0014,HCP0011,HCP0037,institution_overlap,Safety,0.384,Speaker bureau,2023-04-09,Synthetic KOL Network
KREL00040,KOL0015,KOL0016,HCP0041,HCP0001,trial_collaboration,Safety,0.475,Speaker bureau,2025-03-30,Synthetic KOL Network
KREL00041,KOL0015,KOL0017,HCP0041,HCP0020,coauthored,Safety,0.526,PubMed,2022-02-06,Synthetic KOL Network
