quota_id,rep_id,territory,region,report_month,therapy_area,call_quota,sample_quota,target_hcp_visits,target_conversion_rate,manager_review_flag,source_system
QTA00032,REP002,T02,Midwest,2024-08-01,Cardiology,41,9,30,0.119,0,Synthetic Sales Ops
QTA00033,REP002,T02,Midwest,2024-09-01,Cardiology,41,5,30,0.105,0,Synthetic Sales Ops
QTA00034,REP002,T02,Midwest,2024-10-01,Cardiology,42,6,31,0.119,0,Synthetic Sales Ops
QTA00035,REP002,T02,Midwest,2024-11-01,Cardiology,42,8,31,0.111,1,Synthetic Sales Ops
QTA00036,REP002,T02,Midwest,2024-12-01,Cardiology,39,8,29,0.108,0,Synthetic Sales Ops
QTA00037,REP002,T02,Midwest,2025-01-01,Cardiology,48,8,36,0.095,0,Synthetic Sales Ops
QTA00038,REP002,T02,Midwest,2025-02-01,Cardiology,43,5,32,0.134,0,Synthetic Sales Ops
QTA00039,REP002,T02,Midwest,2025-03-01,Cardiology,43,4,32,0.129,1,Synthetic Sales Ops
QTA00040,REP002,T02,Midwest,2025-04-01,Cardiology,37,7,27,0.115,0,Synthetic Sales Ops
QTA00041,REP002,T02,Midwest,2025-05-01,Cardiology,40,7,30,0.105,0,Synthetic Sales Ops
QTA00042,REP002,T02,Midwest,2025-06-01,Cardiology,47,3,35,0.105,0,Synthetic Sales Ops
QTA00043,REP002,T02,Midwest,2025-07-01,Cardiology,43,7,32,0.075,0,Synthetic Sales Ops
QTA00044,REP002,T02,Midwest,2025-08-01,Cardiology,48,4,36,0.127,0,Synthetic Sales Ops
QTA00045,REP002,T02,Midwest,2025-09-01,Cardiology,41,5,30,0.103,1,Synthetic Sales Ops
QTA00046,REP002,T02,Midwest,2025-10-01,Cardiology,44,11,33,0.134,0,Synthetic Sales Ops
QTA00047,REP002,T02,Midwest,2025-11-01,Cardiology,48,8,36,0.127,0,Synthetic Sales Ops
QTA00048,REP002,T02,Midwest,2025-12-01,Cardiology,42,6,31,0.13,0,Synthetic Sales Ops
QTA00049,REP003,T04,South,2024-01-01,Immunology,56,10,42,0.125,1,Synthetic Sales Ops
QTA00050,REP003,T04,South,2024-02-01,Immunology,59,4,44,0.109,1,Synthetic Sales Ops
QTA00051,REP003,T04,South,2024-03-01,Immunology,54,11,40,0.123,1,Synthetic Sales Ops
QTA00052,REP003,T04,South,2024-04-01,Immunology,52,8,39,0.086,0,Synthetic Sales Ops
QTA00053,REP003,T04,South,2024-05-01,Immunology,58,10,43,0.122,0,Synthetic Sales Ops
QTA00054,REP003,T04,South,2024-06-01,Immunology,58,8,43,0.118,0,Synthetic Sales Ops
QTA00055,REP003,T04,South,2024-07-01,Immunology,48,6,36,0.122,0,Synthetic Sales Ops
QTA00056,REP003,T04,South,2024-08-01,Immunology,62,8,46,0.127,1,Synthetic Sales Ops
QTA00057,REP003,T04,South,2024-09-01,Immunology,60,10,45,0.115,1,Synthetic Sales Ops
QTA00058,REP003,T04,South,2024-10-01,Immunology,58,6,43,0.107,0,Synthetic Sales Ops
QTA00059,REP003,T04,South,2024-11-01,Immunology,58,9,43,0.089,0,Synthetic Sales Ops
QTA00060,REP003,T04,South,2024-12-01,Immunology,62,6,46,0.094,1,Synthetic Sales Ops
QTA00061,REP003,T04,South,2025-01-01,Immunology,60,8,45,0.137,1,Synthetic Sales Ops
QTA00062,REP003,T04,South,2025-02-01,Immunology,60,9,45,0.157,0,Synthetic Sales Ops
QTA00063,REP003,T04,South,2025-03-01,Immunology,48,11,36,0.101,0,Synthetic Sales Ops
QTA00064,REP003,T04,South,2025-04-01,Immunology,62,4,46,0.085,0,Synthetic Sales Ops
QTA00065,REP003,T04,South,2025-05-01,Immunology,53,8,39,0.12,1,Synthetic Sales Ops
QTA00066,REP003,T04,South,2025-06-01,Immunology,51,3,38,0.111,0,Synthetic Sales Ops
QTA00067,REP003,T04,South,2025-07-01,Immunology,58,9,43,0.113,0,Synthetic Sales Ops
QTA00068,REP003,T04,South,2025-08-01,Immunology,57,9,42,0.096,0,Synthetic Sales Ops
QTA00069,REP003,T04,South,2025-09-01,Immunology,57,9,42,0.102,0,Synthetic Sales Ops
QTA00070,REP003,T04,South,2025-10-01,Immunology,55,7,41,0.127,0,Synthetic Sales Ops
QTA00071,REP003,T04,South,2025-11-01,Immunology,51,5,38,0.063,0,Synthetic Sales Ops
QTA00072,REP003,T04,South,2025-12-01,Immunology,59,7,44,0.114,0,Synthetic Sales Ops
QTA00073,REP004,T06,West,2024-01-01,Oncology,65,7,48,0.137,0,Synthetic Sales Ops
QTA00074,REP004,T06,West,2024-02-01,Oncology,56,6,42,0.08,0,Synthetic Sales Ops
QTA00075,REP004,T06,West,2024-03-01,Oncology,58,9,43,0.144,0,Synthetic Sales Ops
QTA00076,REP004,T06,West,2024-04-01,Oncology,61,5,45,0.119,1,Synthetic Sales Ops
QTA00077,REP004,T06,West,2024-05-01,Oncology,52,9,39,0.098,0,Synthetic Sales Ops
QTA00078,REP004,T06,West,2024-06-01,Oncology,55,6,41,0.119,0,Synthetic Sales Ops
QTA00079,REP004,T06,West,2024-07-01,Oncology,61,8,45,0.136,0,Synthetic Sales Ops
QTA00080,REP004,T06,West,2024-08-01,Oncology,54,10,40,0.103,1,Synthetic Sales Ops
QTA00081,REP004,T06,West,2024-09-01,Oncology,61,7,45,0.117,0,Synthetic Sales Ops
QTA00082,REP004,T06,West,2024-10-01,Oncology,68,8,51,0.113,0,Synthetic Sales Ops
QTA00083,REP004,T06,West,2024-11-01,Oncology,56,8,42,0.109,0,Synthetic Sales Ops
QTA00084,REP004,T06,West,2024-12-01,Oncology,56,4,42,0.069,0,Synthetic Sales Ops
QTA00085,REP004,T06,West,2025-01-01,Oncology,58,7,43,0.149,0,Synthetic Sales Ops
QTA00086,REP004,T06,West,2025-02-01,Oncology,56,8,42,0.102,0,Synthetic Sales Ops
QTA00087,REP004,T06,West,2025-03-01,Oncology,60,9,45,0.103,0,Synthetic Sales Ops
QTA00088,REP004,T06,West,2025-04-01,Oncology,55,8,41,0.162,0,Synthetic Sales Ops
QTA00089,REP004,T06,West,2025-05-01,Oncology,65,8,48,0.122,0,Synthetic Sales Ops
QTA00090,REP004,T06,West,2025-06-01,Oncology,59,6,44,0.119,1,Synthetic Sales Ops
QTA00091,REP004,T06,West,2025-07-01,Oncology,62,10,46,0.117,0,Synthetic Sales Ops
QTA00092,REP004,T06,West,2025-08-01,Oncology,61,7,45,0.129,1,Synthetic Sales Ops
QTA00093,REP004,T06,West,2025-09-01,Oncology,58,4,43,0.08,0,Synthetic Sales Ops
QTA00094,REP004,T06,West,2025-10-01,Oncology,63,6,47,0.08,0,Synthetic Sales Ops
QTA00095,REP004,T06,West,2025-11-01,Oncology,57,12,42,0.119,0,Synthetic Sales Ops
QTA00096,REP004,T06,West,2025-12-01,Oncology,61,4,45,0.104,0,Synthetic Sales Ops
QTA00097,REP005,T01,Northeast,2024-01-01,Cardiology,53,8,39,0.123,0,Synthetic Sales Ops
QTA00098,REP005,T01,Northeast,2024-02-01,Cardiology,53,11,39,0.091,1,Synthetic Sales Ops
QTA00099,REP005,T01,Northeast,2024-03-01,Cardiology,55,7,41,0.138,0,Synthetic Sales Ops
QTA00100,REP005,T01,Northeast,2024-04-01,Cardiology,55,8,41,0.115,0,Synthetic Sales Ops
QTA00101,REP005,T01,Northeast,2024-05-01,Cardiology,48,6,36,0.101,0,Synthetic Sales Ops
QTA00102,REP005,T01,Northeast,2024-06-01,Cardiology,43,9,32,0.099,0,Synthetic Sales Ops
QTA00103,REP005,T01,Northeast,2024-07-01,Cardiology,40,6,30,0.076,1,Synthetic Sales Ops
QTA00104,REP005,T01,Northeast,2024-08-01,Cardiology,50,7,37,0.105,1,Synthetic Sales Ops
QTA00105,REP005,T01,Northeast,2024-09-01,Cardiology,50,5,37,0.124,0,Synthetic Sales Ops
QTA00106,REP005,T01,Northeast,2024-10-01,Cardiology,51,9,38,0.116,1,Synthetic Sales Ops
QTA00107,REP005,T01,Northeast,2024-11-01,Cardiology,49,7,36,0.095,1,Synthetic Sales Ops
QTA00108,REP005,T01,Northeast,2024-12-01,Cardiology,45,6,33,0.109,1,Synthetic Sales Ops
QTA00109,REP005,T01,Northeast,2025-01-01,Cardiology,50,6,37,0.128,0,Synthetic Sales Ops
QTA00110,REP005,T01,Northeast,2025-02-01,Cardiology,49,6,36,0.121,0,Synthetic Sales Ops
QTA00111,REP005,T01,Northeast,2025-03-01,Cardiology,44,7,33,0.115,1,Synthetic Sales Ops
QTA00112,REP005,T01,Northeast,2025-04-01,Cardiology,50,5,37,0.137,0,Synthetic Sales Ops
QTA00113,REP005,T01,Northeast,2025-05-01,Cardiology,48,8,36,0.062,1,Synthetic Sales Ops
QTA00114,REP005,T01,Northeast,2025-06-01,Cardiology,48,5,36,0.124,1,Synthetic Sales Ops
QTA00115,REP005,T01,Northeast,2025-07-01,Cardiology,45,6,33,0.115,1,Synthetic Sales Ops
QTA00116,REP005,T01,Northeast,2025-08-01,Cardiology,45,8,33,0.146,1,Synthetic Sales Ops
QTA00117,REP005,T01,Northeast,2025-09-01,Cardiology,48,4,36,0.084,1,Synthetic Sales Ops
QTA00118,REP005,T01,Northeast,2025-10-01,Cardiology,47,9,35,0.115,1,Synthetic Sales Ops
QTA00119,REP005,T01,Northeast,2025-11-01,Cardiology,52,6,39,0.135,0,Synthetic Sales Ops
QTA00120,REP005,T01,Northeast,2025-12-01,Cardiology,47,9,35,0.125,0,Synthetic Sales Ops
QTA00121,REP006,T02,Midwest,2024-01-01,Immunology,35,9,26,0.089,0,Synthetic Sales Ops
QTA00122,REP006,T02,Midwest,2024-02-01,Immunology,36,8,27,0.094,1,Synthetic Sales Ops
QTA00123,REP006,T02,Midwest,2024-03-01,Immunology,44,8,33,0.098,0,Synthetic Sales Ops
QTA00124,REP006,T02,Midwest,2024-04-01,Immunology,40,8,30,0.115,0,Synthetic Sales Ops
QTA00125,REP006,T02,Midwest,2024-05-01,Immunology,43,6,32,0.102,0,Synthetic Sales Ops
QTA00126,REP006,T02,Midwest,2024-06-01,Immunology,37,3,27,0.142,1,Synthetic Sales Ops
QTA00127,REP006,T02,Midwest,2024-07-01,Immunology,40,4,30,0.104,0,Synthetic Sales Ops
QTA00128,REP006,T02,Midwest,2024-08-01,Immunology,41,5,30,0.122,0,Synthetic Sales Ops
QTA00129,REP006,T02,Midwest,2024-09-01,Immunology,36,9,27,0.151,0,Synthetic Sales Ops
QTA00130,REP006,T02,Midwest,2024-10-01,Immunology,40,7,30,0.122,1,Synthetic Sales Ops
QTA00131,REP006,T02,Midwest,2024-11-01,Immunology,36,4,27,0.113,1,Synthetic Sales Ops
QTA00132,REP006,T02,Midwest,2024-12-01,Immunology,49,7,36,0.143,0,Synthetic Sales Ops
QTA00133,REP006,T02,Midwest,2025-01-01,Immunology,44,8,33,0.093,0,Synthetic Sales Ops
QTA00134,REP006,T02,Midwest,2025-02-01,Immunology,46,7,34,0.076,1,Synthetic Sales Ops
QTA00135,REP006,T02,Midwest,2025-03-01,Immunology,38,7,28,0.108,0,Synthetic Sales Ops
QTA00136,REP006,T02,Midwest,2025-04-01,Immunology,35,8,26,0.1,1,Synthetic Sales Ops
QTA00137,REP006,T02,Midwest,2025-05-01,Immunology,45,8,33,0.096,0,Synthetic Sales Ops
QTA00138,REP006,T02,Midwest,2025-06-01,Immunology,45,8,33,0.158,0,Synthetic Sales Ops
QTA00139,REP006,T02,Midwest,2025-07-01,Immunology,43,7,32,0.126,0,Synthetic Sales Ops
QTA00140,REP006,T02,Midwest,2025-08-01,Immunology,47,6,35,0.101,0,Synthetic Sales Ops
QTA00141,REP006,T02,Midwest,2025-09-01,Immunology,45,10,33,0.101,1,Synthetic Sales Ops
QTA00142,REP006,T02,Midwest,2025-10-01,Immunology,43,7,32,0.129,1,Synthetic Sales Ops
QTA00143,REP006,T02,Midwest,2025-11-01,Immunology,38,6,28,0.064,0,Synthetic Sales Ops
QTA00144,REP006,T02,Midwest,2025-12-01,Immunology,38,7,28,0.132,0,Synthetic Sales Ops
QTA00145,REP007,T04,South,2024-01-01,Oncology,63,10,47,0.09,0,Synthetic Sales Ops
QTA00146,REP007,T04,South,2024-02-01,Oncology,66,7,49,0.123,0,Synthetic Sales Ops
QTA00147,REP007,T04,South,2024-03-01,Oncology,66,5,49,0.11,0,Synthetic Sales Ops
QTA00148,REP007,T04,South,2024-04-01,Oncology,59,4,44,0.124,1,Synthetic Sales Ops
QTA00149,REP007,T04,South,2024-05-01,Oncology,59,7,44,0.133,0,Synthetic Sales Ops
QTA00150,REP007,T04,South,2024-06-01,Oncology,58,6,43,0.139,0,Synthetic Sales Ops
QTA00151,REP007,T04,South,2024-07-01,Oncology,67,5,50,0.088,1,Synthetic Sales Ops
QTA00152,REP007,T04,South,2024-08-01,Oncology,64,9,48,0.106,1,Synthetic Sales Ops
QTA00153,REP007,T04,South,2024-09-01,Oncology,64,9,48,0.126,0,Synthetic Sales Ops
QTA00154,REP007,T04,South,2024-10-01,Oncology,55,10,41,0.134,0,Synthetic Sales Ops
QTA00155,REP007,T04,South,2024-11-01,Oncology,56,8,42,0.129,0,Synthetic Sales Ops
QTA00156,REP007,T04,South,2024-12-01,Oncology,66,7,49,0.092,0,Synthetic Sales Ops
QTA00157,REP007,T04,South,2025-01-01,Oncology,62,5,46,0.151,1,Synthetic Sales Ops
QTA00158,REP007,T04,South,2025-02-01,Oncology,68,6,51,0.127,1,Synthetic Sales Ops
QTA00159,REP007,T04,South,2025-03-01,Oncology,65,10,48,0.123,0,Synthetic Sales Ops
QTA00160,REP007,T04,South,2025-04-01,Oncology,66,8,49,0.074,0,Synthetic Sales Ops
QTA00161,REP007,T04,South,2025-05-01,Oncology,61,5,45,0.144,1,Synthetic Sales Ops
QTA00162,REP007,T04,South,2025-06-01,Oncology,69,8,51,0.137,0,Synthetic Sales Ops
QTA00163,REP007,T04,South,2025-07-01,Oncology,64,5,48,0.118,0,Synthetic Sales Ops
QTA00164,REP007,T04,South,2025-08-01,Oncology,58,7,43,0.108,1,Synthetic Sales Ops
QTA00165,REP007,T04,South,2025-09-01,Oncology,67,8,50,0.115,1,Synthetic Sales Ops
QTA00166,REP007,T04,South,2025-10-01,Oncology,63,5,47,0.107,0,Synthetic Sales Ops
QTA00167,REP007,T04,South,2025-11-01,Oncology,58,9,43,0.118,1,Synthetic Sales Ops
QTA00168,REP007,T04,South,2025-12-01,Oncology,63,9,47,0.131,1,Synthetic Sales Ops
QTA00169,REP008,T06,West,2024-01-01,Cardiology,44,6,33,0.088,0,Synthetic Sales Ops
QTA00170,REP008,T06,West,2024-02-01,Cardiology,45,10,33,0.132,1,Synthetic Sales Ops
QTA00171,REP008,T06,West,2024-03-01,Cardiology,39,7,29,0.114,0,Synthetic Sales Ops
QTA00172,REP008,T06,West,2024-04-01,Cardiology,41,8,30,0.1,0,Synthetic Sales Ops
QTA00173,REP008,T06,West,2024-05-01,Cardiology,45,7,33,0.115,0,Synthetic Sales Ops
QTA00174,REP008,T06,West,2024-06-01,Cardiology,39,7,29,0.139,1,Synthetic Sales Ops
QTA00175,REP008,T06,West,2024-07-01,Cardiology,45,5,33,0.068,1,Synthetic Sales Ops
QTA00176,REP008,T06,West,2024-08-01,Cardiology,44,8,33,0.108,1,Synthetic Sales Ops
QTA00177,REP008,T06,West,2024-09-01,Cardiology,33,8,24,0.141,0,Synthetic Sales Ops
QTA00178,REP008,T06,West,2024-10-01,Cardiology,42,6,31,0.092,0,Synthetic Sales Ops
QTA00179,REP008,T06,West,2024-11-01,Cardiology,49,11,36,0.103,1,Synthetic Sales Ops
QTA00180,REP008,T06,West,2024-12-01,Cardiology,44,11,33,0.108,0,Synthetic Sales Ops
QTA00181,REP008,T06,West,2025-01-01,Cardiology,45,14,33,0.127,0,Synthetic Sales Ops
QTA00182,REP008,T06,West,2025-02-01,Cardiology,47,7,35,0.1,0,Synthetic Sales Ops
QTA00183,REP008,T06,West,2025-03-01,Cardiology,44,8,33,0.11,0,Synthetic Sales Ops
QTA00184,REP008,T06,West,2025-04-01,Cardiology,45,4,33,0.123,0,Synthetic Sales Ops
QTA00185,REP008,T06,West,2025-05-01,Cardiology,38,7,28,0.112,0,Synthetic Sales Ops
QTA00186,REP008,T06,West,2025-06-01,Cardiology,47,5,35,0.102,0,Synthetic Sales Ops
QTA00187,REP008,T06,West,2025-07-01,Cardiology,43,8,32,0.09,1,Synthetic Sales Ops
QTA00188,REP008,T06,West,2025-08-01,Cardiology,44,4,33,0.071,0,Synthetic Sales Ops
QTA00189,REP008,T06,West,2025-09-01,Cardiology,43,7,32,0.109,1,Synthetic Sales Ops
QTA00190,REP008,T06,West,2025-10-01,Cardiology,47,5,35,0.087,0,Synthetic Sales Ops
QTA00191,REP008,T06,West,2025-11-01,Cardiology,45,10,33,0.101,0,Synthetic Sales Ops
QTA00192,REP008,T06,West,2025-12-01,Cardiology,37,6,27,0.099,0,Synthetic Sales Ops
QTA00193,REP009,T01,Northeast,2024-01-01,Immunology,42,10,31,0.096,1,Synthetic Sales Ops
QTA00194,REP009,T01,Northeast,2024-02-01,Immunology,45,4,33,0.118,1,Synthetic Sales Ops
QTA00195,REP009,T01,Northeast,2024-03-01,Immunology,43,11,32,0.098,0,Synthetic Sales Ops
QTA00196,REP009,T01,Northeast,2024-04-01,Immunology,43,5,32,0.111,1,Synthetic Sales Ops
QTA00197,REP009,T01,Northeast,2024-05-01,Immunology,40,8,30,0.121,0,Synthetic Sales Ops
QTA00198,REP009,T01,Northeast,2024-06-01,Immunology,47,10,35,0.139,0,Synthetic Sales Ops
QTA00199,REP009,T01,Northeast,2024-07-01,Immunology,49,4,36,0.104,1,Synthetic Sales Ops
QTA00200,REP009,T01,Northeast,2024-08-01,Immunology,44,6,33,0.107,0,Synthetic Sales Ops
QTA00201,REP009,T01,Northeast,2024-09-01,Immunology,43,8,32,0.105,0,Synthetic Sales Ops
QTA00202,REP009,T01,Northeast,2024-10-01,Immunology,44,8,33,0.133,1,Synthetic Sales Ops
QTA00203,REP009,T01,Northeast,2024-11-01,Immunology,45,9,33,0.087,0,Synthetic Sales Ops
QTA00204,REP009,T01,Northeast,2024-12-01,Immunology,47,9,35,0.114,0,Synthetic Sales Ops
QTA00205,REP009,T01,Northeast,2025-01-01,Immunology,45,10,33,0.116,0,Synthetic Sales Ops
QTA00206,REP009,T01,Northeast,2025-02-01,Immunology,45,3,33,0.118,1,Synthetic Sales Ops
QTA00207,REP009,T01,Northeast,2025-03-01,Immunology,37,8,27,0.12,0,Synthetic Sales Ops
QTA00208,REP009,T01,Northeast,2025-04-01,Immunology,41,10,30,0.1,0,Synthetic Sales Ops
QTA00209,REP009,T01,Northeast,2025-05-01,Immunology,43,8,32,0.142,1,Synthetic Sales Ops
QTA00210,REP009,T01,Northeast,2025-06-01,Immunology,39,7,29,0.109,1,Synthetic Sales Ops
QTA00211,REP009,T01,Northeast,2025-07-01,Immunology,42,6,31,0.128,0,Synthetic Sales Ops
QTA00212,REP009,T01,Northeast,2025-08-01,Immunology,42,7,31,0.114,1,Synthetic Sales Ops
QTA00213,REP009,T01,Northeast,2025-09-01,Immunology,40,5,30,0.132,0,Synthetic Sales Ops
QTA00214,REP009,T01,Northeast,2025-10-01,Immunology,38,8,28,0.119,0,Synthetic Sales Ops
QTA00215,REP009,T01,Northeast,2025-11-01,Immunology,44,9,33,0.117,0,Synthetic Sales Ops
QTA00216,REP009,T01,Northeast,2025-12-01,Immunology,38,8,28,0.104,0,Synthetic Sales Ops
QTA00217,REP010,T02,Midwest,2024-01-01,Oncology,51,10,38,0.146,1,Synthetic Sales Ops
QTA00218,REP010,T02,Midwest,2024-02-01,Oncology,47,8,35,0.125,0,Synthetic Sales Ops
QTA00219,REP010,T02,Midwest,2024-03-01,Oncology,48,9,36,0.109,0,Synthetic Sales Ops
QTA00220,REP010,T02,Midwest,2024-04-01,Oncology,46,9,34,0.11,0,Synthetic Sales Ops
QTA00221,REP010,T02,Midwest,2024-05-01,Oncology,50,7,37,0.125,0,Synthetic Sales Ops
QTA00222,REP010,T02,Midwest,2024-06-01,Oncology,43,10,32,0.1,1,Synthetic Sales Ops
QTA00223,REP010,T02,Midwest,2024-07-01,Oncology,43,5,32,0.111,0,Synthetic Sales Ops
QTA00224,REP010,T02,Midwest,2024-08-01,Oncology,46,9,34,0.117,1,Synthetic Sales Ops
QTA00225,REP010,T02,Midwest,2024-09-01,Oncology,49,9,36,0.068,1,Synthetic Sales Ops
QTA00226,REP010,T02,Midwest,2024-10-01,Oncology,39,8,29,0.11,0,Synthetic Sales Ops
QTA00227,REP010,T02,Midwest,2024-11-01,Oncology,52,8,39,0.1,0,Synthetic Sales Ops
QTA00228,REP010,T02,Midwest,2024-12-01,Oncology,45,7,33,0.13,0,Synthetic Sales Ops
QTA00229,REP010,T02,Midwest,2025-01-01,Oncology,51,9,38,0.091,0,Synthetic Sales Ops
QTA00230,REP010,T02,Midwest,2025-02-01,Oncology,50,8,37,0.095,0,Synthetic Sales Ops
QTA00231,REP010,T02,Midwest,2025-03-01,Oncology,45,9,33,0.091,1,Synthetic Sales Ops
QTA00232,REP010,T02,Midwest,2025-04-01,Oncology,43,7,32,0.112,0,Synthetic Sales Ops
QTA00233,REP010,T02,Midwest,2025-05-01,Oncology,42,10,31,0.113,0,Synthetic Sales Ops
QTA00234,REP010,T02,Midwest,2025-06-01,Oncology,48,8,36,0.107,0,Synthetic Sales Ops
QTA00235,REP010,T02,Midwest,2025-07-01,Oncology,46,10,34,0.097,0,Synthetic Sales Ops
QTA00236,REP010,T02,Midwest,2025-08-01,Oncology,43,8,32,0.139,0,Synthetic Sales Ops
QTA00237,REP010,T02,Midwest,2025-09-01,Oncology,47,5,35,0.105,1,Synthetic Sales Ops
QTA00238,REP010,T02,Midwest,2025-10-01,Oncology,44,8,33,0.136,0,Synthetic Sales Ops
QTA00239,REP010,T02,Midwest,2025-11-01,Oncology,45,10,33,0.115,0,Synthetic Sales Ops
QTA00240,REP010,T02,Midwest,2025-12-01,Oncology,49,8,36,0.112,0,Synthetic Sales Ops
QTA00241,REP011,T04,South,2024-01-01,Cardiology,46,9,34,0.104,0,Synthetic Sales Ops
QTA00242,REP011,T04,South,2024-02-01,Cardiology,53,9,39,0.114,1,Synthetic Sales Ops
QTA00243,REP011,T04,South,2024-03-01,Cardiology,57,11,42,0.12,1,Synthetic Sales Ops
QTA00244,REP011,T04,South,2024-04-01,Cardiology,57,10,42,0.122,0,Synthetic Sales Ops
QTA00245,REP011,T04,South,2024-05-01,Cardiology,55,5,41,0.124,1,Synthetic Sales Ops
QTA00246,REP011,T04,South,2024-06-01,Cardiology,49,10,36,0.127,1,Synthetic Sales Ops
QTA00247,REP011,T04,South,2024-07-01,Cardiology,51,5,38,0.105,0,Synthetic Sales Ops
QTA00248,REP011,T04,South,2024-08-01,Cardiology,53,10,39,0.103,0,Synthetic Sales Ops
QTA00249,REP011,T04,South,2024-09-01,Cardiology,49,8,36,0.11,0,Synthetic Sales Ops
QTA00250,REP011,T04,South,2024-10-01,Cardiology,52,7,39,0.105,1,Synthetic Sales Ops
QTA00251,REP011,T04,South,2024-11-01,Cardiology,52,7,39,0.068,1,Synthetic Sales Ops
QTA00252,REP011,T04,South,2024-12-01,Cardiology,51,6,38,0.138,0,Synthetic Sales Ops
QTA00253,REP011,T04,South,2025-01-01,Cardiology,58,8,43,0.111,0,Synthetic Sales Ops
QTA00254,REP011,T04,South,2025-02-01,Cardiology,53,11,39,0.064,0,Synthetic Sales Ops
QTA00255,REP011,T04,South,2025-03-01,Cardiology,50,8,37,0.124,0,Synthetic Sales Ops
QTA00256,REP011,T04,South,2025-04-01,Cardiology,51,10,38,0.131,0,Synthetic Sales Ops
QTA00257,REP011,T04,South,2025-05-01,Cardiology,56,8,42,0.099,0,Synthetic Sales Ops
QTA00258,REP011,T04,South,2025-06-01,Cardiology,53,8,39,0.139,1,Synthetic Sales Ops
QTA00259,REP011,T04,South,2025-07-01,Cardiology,47,5,35,0.103,0,Synthetic Sales Ops
QTA00260,REP011,T04,South,2025-08-01,Cardiology,46,6,34,0.093,1,Synthetic Sales Ops
QTA00261,REP011,T04,South,2025-09-01,Cardiology,60,7,45,0.103,0,Synthetic Sales Ops
