claim_id,hcp_id,product_id,service_month,n_rx,new_rx,total_patients,payer_type,channel_source,geo_region
CLM000041,HCP0016,PRD008,2025-08-01,50,18,38,Cash,Syndicated Rx,South
CLM000042,HCP0016,PRD009,2025-09-01,48,10,24,Commercial,Syndicated Rx,South
CLM000043,HCP0016,PRD003,2025-10-01,48,15,37,Medicare,Claims,South
CLM000044,HCP0016,PRD006,2025-11-01,24,7,41,Commercial,Claims,South
CLM000045,HCP0016,PRD010,2025-12-01,34,12,23,Medicare,Claims,South
CLM000046,HCP0016,PRD010,2026-01-01,48,11,12,Medicaid,Sample,South
CLM000047,HCP0016,PRD001,2026-02-01,30,18,49,Medicaid,Claims,South
CLM000048,HCP0016,PRD004,2026-03-01,5,2,12,Medicare,Claims,South
CLM000049,HCP0016,PRD002,2026-04-01,21,0,17,Medicare,Syndicated Rx,South
CLM000050,HCP0016,PRD002,2026-05-01,13,10,10,Medicare,Sample,South
CLM000051,HCP0023,PRD005,2024-01-01,11,4,21,Medicaid,Claims,West
CLM000052,HCP0023,PRD006,2024-02-01,49,12,18,Medicaid,Syndicated Rx,West
CLM000053,HCP0023,PRD002,2024-03-01,32,5,45,Cash,Sample,West
CLM000054,HCP0023,PRD010,2024-04-01,56,17,67,Medicaid,Claims,West
CLM000055,HCP0023,PRD004,2024-05-01,29,5,24,Medicaid,Claims,West
CLM000056,HCP0023,PRD004,2024-06-01,36,0,30,Commercial,Claims,West
CLM000057,HCP0023,PRD005,2024-07-01,47,7,43,Commercial,Syndicated Rx,West
CLM000058,HCP0023,PRD007,2024-08-01,17,2,27,Medicaid,Claims,West
CLM000059,HCP0023,PRD003,2024-09-01,42,2,51,Medicaid,Syndicated Rx,West
CLM000060,HCP0023,PRD004,2024-10-01,21,6,10,Medicaid,Syndicated Rx,West
CLM000061,HCP0023,PRD005,2024-12-01,25,1,33,Cash,Claims,West
CLM000062,HCP0023,PRD009,2025-02-01,34,12,46,Cash,Claims,West
CLM000063,HCP0023,PRD005,2025-05-01,17,7,21,Commercial,Claims,West
CLM000064,HCP0023,PRD004,2025-06-01,26,10,16,Commercial,Syndicated Rx,West
CLM000065,HCP0023,PRD010,2025-07-01,22,12,35,Commercial,Sample,West
CLM000066,HCP0023,PRD001,2025-10-01,16,15,28,Medicare,Sample,West
CLM000067,HCP0023,PRD006,2025-12-01,24,3,18,Medicare,Syndicated Rx,West
CLM000068,HCP0023,PRD008,2026-01-01,33,17,35,Medicaid,Claims,West
CLM000069,HCP0023,PRD009,2026-02-01,48,12,47,Cash,Claims,West
CLM000070,HCP0023,PRD007,2026-03-01,27,0,10,Medicaid,Sample,West
CLM000071,HCP0023,PRD004,2026-04-01,27,15,21,Commercial,Claims,West
CLM000072,HCP0023,PRD007,2026-05-01,14,9,24,Commercial,Syndicated Rx,West
CLM000073,HCP0043,PRD009,2024-02-01,13,8,28,Cash,Claims,Midwest
CLM000074,HCP0043,PRD001,2024-03-01,35,12,23,Cash,Claims,Midwest
CLM000075,HCP0043,PRD004,2024-04-01,30,14,28,Medicaid,Sample,Midwest
CLM000076,HCP0043,PRD002,2024-05-01,8,3,26,Medicaid,Sample,Midwest
CLM000077,HCP0043,PRD008,2024-06-01,32,18,21,Cash,Sample,Midwest
CLM000078,HCP0043,PRD005,2024-07-01,47,17,53,Medicare,Syndicated Rx,Midwest
CLM000079,HCP0043,PRD007,2024-08-01,14,12,28,Medicare,Claims,Midwest
CLM000080,HCP0043,PRD009,2024-10-01,18,5,17,Medicare,Claims,Midwest
CLM000081,HCP0043,PRD007,2024-11-01,25,13,22,Medicaid,Syndicated Rx,Midwest
CLM000082,HCP0043,PRD001,2025-02-01,47,12,37,Medicaid,Syndicated Rx,Midwest
CLM000083,HCP0043,PRD005,2025-03-01,39,0,42,Cash,Claims,Midwest
CLM000084,HCP0043,PRD005,2025-04-01,40,4,42,Commercial,Claims,Midwest
CLM000085,HCP0043,PRD005,2025-05-01,21,3,39,Medicaid,Syndicated Rx,Midwest
CLM000086,HCP0043,PRD003,2025-06-01,51,15,53,Cash,Claims,Midwest
CLM000087,HCP0043,PRD009,2025-07-01,21,12,31,Cash,Claims,Midwest
CLM000088,HCP0043,PRD002,2025-08-01,25,10,13,Cash,Syndicated Rx,Midwest
CLM000089,HCP0043,PRD006,2025-10-01,28,9,26,Cash,Sample,Midwest
CLM000090,HCP0043,PRD009,2025-11-01,15,7,16,Cash,Syndicated Rx,Midwest
CLM000091,HCP0043,PRD004,2025-12-01,51,13,54,Commercial,Claims,Midwest
CLM000092,HCP0043,PRD001,2026-01-01,44,13,61,Medicaid,Claims,Midwest
CLM000093,HCP0043,PRD004,2026-02-01,9,5,14,Cash,Claims,Midwest
CLM000094,HCP0043,PRD003,2026-04-01,19,18,23,Medicare,Claims,Midwest
CLM000095,HCP0031,PRD001,2024-01-01,17,14,25,Medicare,Syndicated Rx,Midwest
CLM000096,HCP0031,PRD008,2024-02-01,46,14,39,Commercial,Sample,Midwest
CLM000097,HCP0031,PRD009,2024-03-01,42,11,49,Cash,Claims,Midwest
CLM000098,HCP0031,PRD005,2024-05-01,39,17,39,Medicare,Syndicated Rx,Midwest
CLM000099,HCP0031,PRD009,2024-06-01,20,2,6,Cash,Claims,Midwest
CLM000100,HCP0031,PRD001,2024-07-01,31,18,32,Medicare,Sample,Midwest
CLM000101,HCP0031,PRD003,2024-08-01,45,13,14,Commercial,Syndicated Rx,Midwest
CLM000102,HCP0031,PRD004,2024-10-01,14,0,13,Medicaid,Sample,Midwest
CLM000103,HCP0031,PRD010,2024-12-01,37,13,35,Cash,Syndicated Rx,Midwest
CLM000104,HCP0031,PRD001,2025-01-01,42,9,61,Cash,Sample,Midwest
CLM000105,HCP0031,PRD006,2025-02-01,39,16,51,Medicaid,Syndicated Rx,Midwest
CLM000106,HCP0031,PRD003,2025-03-01,19,15,25,Medicaid,Sample,Midwest
CLM000107,HCP0031,PRD005,2025-04-01,24,8,27,Medicare,Claims,Midwest
CLM000108,HCP0031,PRD003,2025-05-01,10,7,26,Cash,Sample,Midwest
CLM000109,HCP0031,PRD001,2025-06-01,5,4,25,Cash,Syndicated Rx,Midwest
CLM000110,HCP0031,PRD001,2025-07-01,38,13,37,Commercial,Sample,Midwest
CLM000111,HCP0031,PRD005,2025-08-01,30,18,39,Medicare,Sample,Midwest
CLM000112,HCP0031,PRD004,2025-09-01,37,15,47,Medicaid,Claims,Midwest
CLM000113,HCP0031,PRD007,2025-12-01,33,3,13,Medicaid,Sample,Midwest
CLM000114,HCP0031,PRD009,2026-03-01,15,10,17,Medicaid,Claims,Midwest
CLM000115,HCP0031,PRD007,2026-04-01,35,9,30,Medicaid,Syndicated Rx,Midwest
CLM000116,HCP0031,PRD001,2026-05-01,21,14,29,Commercial,Sample,Midwest
CLM000117,HCP0028,PRD005,2024-01-01,32,2,17,Commercial,Sample,South
CLM000118,HCP0028,PRD008,2024-02-01,35,9,12,Medicare,Claims,South
CLM000119,HCP0028,PRD005,2024-04-01,47,18,27,Medicaid,Sample,South
CLM000120,HCP0028,PRD007,2024-05-01,33,2,26,Medicare,Syndicated Rx,South
CLM000121,HCP0028,PRD005,2024-06-01,28,0,22,Medicare,Claims,South
CLM000122,HCP0028,PRD002,2024-07-01,36,5,55,Commercial,Claims,South
CLM000123,HCP0028,PRD009,2024-08-01,38,13,40,Cash,Syndicated Rx,South
CLM000124,HCP0028,PRD006,2024-09-01,29,17,40,Commercial,Syndicated Rx,South
CLM000125,HCP0028,PRD005,2024-11-01,0,0,12,Medicare,Sample,South
CLM000126,HCP0028,PRD007,2025-01-01,27,3,37,Medicaid,Claims,South
CLM000127,HCP0028,PRD010,2025-02-01,20,1,23,Cash,Sample,South
CLM000128,HCP0028,PRD004,2025-03-01,37,16,43,Medicare,Syndicated Rx,South
CLM000129,HCP0028,PRD007,2025-05-01,16,6,36,Cash,Claims,South
CLM000130,HCP0028,PRD007,2025-06-01,17,4,6,Medicare,Claims,South
CLM000131,HCP0028,PRD008,2025-07-01,25,1,45,Medicaid,Sample,South
CLM000132,HCP0028,PRD007,2025-08-01,7,1,25,Commercial,Claims,South
CLM000133,HCP0028,PRD006,2025-09-01,41,13,37,Commercial,Sample,South
CLM000134,HCP0028,PRD008,2025-10-01,17,4,5,Medicaid,Syndicated Rx,South
CLM000135,HCP0028,PRD002,2025-11-01,33,16,24,Cash,Claims,South
CLM000136,HCP0028,PRD002,2025-12-01,21,3,12,Commercial,Syndicated Rx,South
CLM000137,HCP0028,PRD010,2026-01-01,22,6,39,Medicare,Syndicated Rx,South
CLM000138,HCP0028,PRD010,2026-02-01,19,9,10,Cash,Claims,South
CLM000139,HCP0028,PRD008,2026-03-01,36,15,30,Commercial,Claims,South
CLM000140,HCP0028,PRD006,2026-04-01,39,3,47,Cash,Claims,South
CLM000141,HCP0002,PRD002,2024-02-01,19,3,19,Cash,Syndicated Rx,Midwest
CLM000142,HCP0002,PRD003,2024-03-01,7,1,10,Commercial,Syndicated Rx,Midwest
CLM000143,HCP0002,PRD006,2024-04-01,37,10,57,Commercial,Claims,Midwest
CLM000144,HCP0002,PRD009,2024-07-01,14,4,15,Medicaid,Syndicated Rx,Midwest
CLM000145,HCP0002,PRD010,2024-09-01,25,2,26,Medicare,Claims,Midwest
CLM000146,HCP0002,PRD008,2024-10-01,31,14,38,Cash,Syndicated Rx,Midwest
CLM000147,HCP0002,PRD009,2024-11-01,12,5,9,Commercial,Claims,Midwest
CLM000148,HCP0002,PRD004,2024-12-01,48,18,54,Cash,Claims,Midwest
CLM000149,HCP0002,PRD001,2025-01-01,50,11,12,Medicare,Syndicated Rx,Midwest
CLM000150,HCP0002,PRD006,2025-03-01,41,13,15,Commercial,Syndicated Rx,Midwest
CLM000151,HCP0002,PRD008,2025-04-01,33,0,52,Medicare,Sample,Midwest
CLM000152,HCP0002,PRD006,2025-06-01,30,3,47,Medicare,Syndicated Rx,Midwest
CLM000153,HCP0002,PRD005,2025-07-01,21,12,38,Commercial,Claims,Midwest
CLM000154,HCP0002,PRD004,2025-08-01,37,5,35,Cash,Claims,Midwest
CLM000155,HCP0002,PRD001,2025-09-01,35,15,30,Medicaid,Syndicated Rx,Midwest
CLM000156,HCP0002,PRD010,2025-10-01,42,7,48,Cash,Syndicated Rx,Midwest
CLM000157,HCP0002,PRD005,2025-12-01,50,14,42,Commercial,Syndicated Rx,Midwest
CLM000158,HCP0002,PRD001,2026-01-01,34,3,52,Commercial,Claims,Midwest
CLM000159,HCP0002,PRD005,2026-02-01,36,1,40,Commercial,Claims,Midwest
CLM000160,HCP0002,PRD010,2026-05-01,51,16,29,Cash,Syndicated Rx,Midwest
CLM000161,HCP0021,PRD001,2024-01-01,15,1,32,Cash,Syndicated Rx,Southeast
CLM000162,HCP0021,PRD004,2024-02-01,38,15,43,Commercial,Claims,Southeast
CLM000163,HCP0021,PRD002,2024-04-01,32,10,50,Medicaid,Sample,Southeast
CLM000164,HCP0021,PRD003,2024-05-01,5,3,10,Cash,Claims,Southeast
CLM000165,HCP0021,PRD006,2024-07-01,19,13,21,Medicare,Claims,Southeast
CLM000166,HCP0021,PRD006,2024-08-01,25,12,41,Medicare,Sample,Southeast
CLM000167,HCP0021,PRD002,2024-09-01,15,13,33,Commercial,Syndicated Rx,Southeast
CLM000168,HCP0021,PRD002,2024-10-01,50,18,26,Cash,Claims,Southeast
CLM000169,HCP0021,PRD008,2024-11-01,36,1,32,Cash,Sample,Southeast
CLM000170,HCP0021,PRD004,2025-02-01,13,5,8,Cash,Sample,Southeast
CLM000171,HCP0021,PRD006,2025-03-01,42,10,34,Cash,Sample,Southeast
CLM000172,HCP0021,PRD010,2025-06-01,28,10,38,Medicare,Claims,Southeast
CLM000173,HCP0021,PRD006,2025-07-01,35,16,51,Medicaid,Sample,Southeast
CLM000174,HCP0021,PRD006,2025-08-01,57,17,30,Medicare,Claims,Southeast
CLM000175,HCP0021,PRD004,2025-09-01,31,9,17,Medicare,Sample,Southeast
CLM000176,HCP0021,PRD002,2025-10-01,17,10,34,Medicaid,Sample,Southeast
CLM000177,HCP0021,PRD004,2025-11-01,44,18,61,Medicaid,Syndicated Rx,Southeast
CLM000178,HCP0021,PRD006,2026-01-01,24,0,14,Commercial,Sample,Southeast
CLM000179,HCP0021,PRD004,2026-02-01,18,8,17,Medicaid,Claims,Southeast
CLM000180,HCP0021,PRD005,2026-04-01,22,9,11,Medicaid,Syndicated Rx,Southeast
CLM000181,HCP0021,PRD008,2026-05-01,31,17,41,Medicare,Sample,Southeast
CLM000182,HCP0011,PRD005,2024-03-01,25,1,29,Cash,Sample,Midwest
CLM000183,HCP0011,PRD004,2024-04-01,20,17,17,Medicaid,Claims,Midwest
CLM000184,HCP0011,PRD004,2024-05-01,28,14,37,Medicare,Sample,Midwest
CLM000185,HCP0011,PRD006,2024-07-01,9,5,10,Medicare,Sample,Midwest
CLM000186,HCP0011,PRD006,2024-08-01,14,12,25,Medicaid,Sample,Midwest
CLM000187,HCP0011,PRD007,2024-09-01,42,5,59,Medicaid,Claims,Midwest
CLM000188,HCP0011,PRD009,2024-10-01,6,4,9,Medicaid,Sample,Midwest
CLM000189,HCP0011,PRD007,2024-11-01,40,9,59,Medicaid,Claims,Midwest
CLM000190,HCP0011,PRD005,2025-01-01,18,7,11,Medicare,Syndicated Rx,Midwest
CLM000191,HCP0011,PRD008,2025-02-01,17,12,23,Medicare,Claims,Midwest
CLM000192,HCP0011,PRD004,2025-03-01,33,10,28,Medicare,Sample,Midwest
CLM000193,HCP0011,PRD010,2025-04-01,17,17,20,Medicaid,Syndicated Rx,Midwest
CLM000194,HCP0011,PRD003,2025-05-01,9,7,28,Medicaid,Syndicated Rx,Midwest
CLM000195,HCP0011,PRD005,2025-08-01,35,17,18,Medicaid,Sample,Midwest
CLM000196,HCP0011,PRD010,2025-10-01,19,1,17,Medicaid,Sample,Midwest
CLM000197,HCP0011,PRD006,2025-11-01,13,3,29,Commercial,Sample,Midwest
CLM000198,HCP0011,PRD008,2025-12-01,33,6,12,Medicare,Sample,Midwest
CLM000199,HCP0011,PRD004,2026-03-01,17,13,36,Medicare,Claims,Midwest
CLM000200,HCP0011,PRD001,2026-04-01,12,10,12,Commercial,Claims,Midwest
CLM000201,HCP0011,PRD003,2026-05-01,43,8,12,Medicare,Syndicated Rx,Midwest
CLM000202,HCP0037,PRD010,2024-01-01,54,14,39,Cash,Syndicated Rx,Midwest
CLM000203,HCP0037,PRD002,2024-02-01,37,3,5,Commercial,Sample,Midwest
CLM000204,HCP0037,PRD008,2024-03-01,24,2,37,Commercial,Syndicated Rx,Midwest
CLM000205,HCP0037,PRD004,2024-05-01,20,2,33,Cash,Syndicated Rx,Midwest
CLM000206,HCP0037,PRD001,2024-07-01,39,5,19,Medicare,Sample,Midwest
CLM000207,HCP0037,PRD009,2024-08-01,35,17,26,Medicaid,Sample,Midwest
CLM000208,HCP0037,PRD004,2024-12-01,35,0,40,Medicare,Claims,Midwest
CLM000209,HCP0037,PRD002,2025-01-01,56,18,43,Commercial,Syndicated Rx,Midwest
CLM000210,HCP0037,PRD001,2025-02-01,24,11,37,Medicare,Claims,Midwest
CLM000211,HCP0037,PRD008,2025-03-01,20,8,15,Medicare,Sample,Midwest
CLM000212,HCP0037,PRD002,2025-09-01,21,17,26,Commercial,Syndicated Rx,Midwest
CLM000213,HCP0037,PRD010,2025-10-01,49,18,39,Medicaid,Claims,Midwest
CLM000214,HCP0037,PRD006,2025-11-01,13,7,16,Commercial,Claims,Midwest
CLM000215,HCP0037,PRD008,2025-12-01,35,14,53,Medicaid,Sample,Midwest
CLM000216,HCP0037,PRD003,2026-01-01,54,18,41,Medicaid,Syndicated Rx,Midwest
CLM000217,HCP0037,PRD007,2026-02-01,25,10,24,Cash,Syndicated Rx,Midwest
CLM000218,HCP0037,PRD007,2026-04-01,40,10,39,Cash,Syndicated Rx,Midwest
CLM000219,HCP0033,PRD003,2024-01-01,14,3,25,Commercial,Syndicated Rx,West
CLM000220,HCP0033,PRD001,2024-03-01,29,17,33,Commercial,Sample,West
CLM000221,HCP0033,PRD007,2024-04-01,32,0,45,Commercial,Sample,West
CLM000222,HCP0033,PRD002,2024-05-01,31,18,20,Medicaid,Sample,West
CLM000223,HCP0033,PRD006,2024-07-01,27,4,30,Medicare,Sample,West
CLM000224,HCP0033,PRD006,2024-08-01,17,9,23,Commercial,Syndicated Rx,West
CLM000225,HCP0033,PRD005,2024-09-01,15,0,32,Medicare,Sample,West
CLM000226,HCP0033,PRD010,2024-10-01,16,5,14,Cash,Syndicated Rx,West
CLM000227,HCP0033,PRD010,2024-11-01,29,15,19,Medicaid,Syndicated Rx,West
CLM000228,HCP0033,PRD001,2024-12-01,39,6,56,Medicaid,Syndicated Rx,West
CLM000229,HCP0033,PRD001,2025-01-01,16,14,15,Medicaid,Claims,West
CLM000230,HCP0033,PRD008,2025-02-01,56,16,69,Medicaid,Sample,West
CLM000231,HCP0033,PRD002,2025-03-01,53,17,28,Cash,Sample,West
CLM000232,HCP0033,PRD003,2025-04-01,22,18,34,Medicaid,Syndicated Rx,West
CLM000233,HCP0033,PRD010,2025-06-01,34,12,34,Cash,Syndicated Rx,West
CLM000234,HCP0033,PRD008,2025-08-01,32,4,15,Medicare,Claims,West
CLM000235,HCP0033,PRD009,2025-09-01,21,8,17,Medicare,Claims,West
CLM000236,HCP0033,PRD009,2025-10-01,17,3,31,Medicaid,Sample,West
CLM000237,HCP0033,PRD008,2025-11-01,45,15,28,Medicare,Sample,West
CLM000238,HCP0033,PRD001,2026-01-01,9,1,23,Medicare,Claims,West
CLM000239,HCP0033,PRD005,2026-02-01,37,1,14,Commercial,Claims,West
CLM000240,HCP0033,PRD007,2026-03-01,38,5,30,Commercial,Sample,West
CLM000241,HCP0033,PRD006,2026-04-01,14,9,15,Cash,Sample,West
CLM000242,HCP0047,PRD002,2024-02-01,51,13,22,Medicare,Sample,South
CLM000243,HCP0047,PRD002,2024-03-01,18,8,31,Medicaid,Syndicated Rx,South
CLM000244,HCP0047,PRD003,2024-04-01,16,2,29,Cash,Claims,South
CLM000245,HCP0047,PRD010,2024-05-01,39,6,38,Cash,Claims,South
CLM000246,HCP0047,PRD005,2024-06-01,35,5,44,Commercial,Sample,South
CLM000247,HCP0047,PRD007,2024-07-01,8,3,20,Medicare,Sample,South
CLM000248,HCP0047,PRD004,2024-08-01,27,0,38,Cash,Syndicated Rx,South
CLM000249,HCP0047,PRD005,2024-10-01,27,13,43,Cash,Syndicated Rx,South
CLM000250,HCP0047,PRD007,2024-11-01,24,18,31,Medicare,Syndicated Rx,South
CLM000251,HCP0047,PRD006,2024-12-01,12,7,16,Cash,Syndicated Rx,South
CLM000252,HCP0047,PRD009,2025-01-01,36,0,38,Commercial,Sample,South
CLM000253,HCP0047,PRD008,2025-02-01,26,6,32,Medicaid,Claims,South
CLM000254,HCP0047,PRD004,2025-03-01,34,18,34,Cash,Sample,South
CLM000255,HCP0047,PRD001,2025-04-01,33,8,21,Cash,Sample,South
CLM000256,HCP0047,PRD004,2025-06-01,46,11,46,Cash,Syndicated Rx,South
CLM000257,HCP0047,PRD008,2025-08-01,20,12,39,Commercial,Sample,South
CLM000258,HCP0047,PRD007,2025-09-01,11,5,11,Cash,Syndicated Rx,South
CLM000259,HCP0047,PRD003,2025-11-01,11,1,17,Commercial,Claims,South
CLM000260,HCP0047,PRD007,2026-01-01,18,13,15,Medicaid,Claims,South
CLM000261,HCP0047,PRD004,2026-02-01,25,1,30,Medicaid,Sample,South
CLM000262,HCP0047,PRD008,2026-04-01,45,5,36,Cash,Claims,South
CLM000263,HCP0047,PRD006,2026-05-01,34,16,28,Commercial,Sample,South
CLM000264,HCP0035,PRD002,2024-01-01,46,7,17,Commercial,Syndicated Rx,South
CLM000265,HCP0035,PRD006,2024-02-01,10,0,7,Medicaid,Syndicated Rx,South
CLM000266,HCP0035,PRD010,2024-03-01,37,12,49,Medicare,Sample,South
CLM000267,HCP0035,PRD009,2024-04-01,7,2,22,Medicaid,Sample,South
CLM000268,HCP0035,PRD006,2024-07-01,22,8,20,Cash,Syndicated Rx,South
CLM000269,HCP0035,PRD005,2024-08-01,19,8,34,Commercial,Sample,South
CLM000270,HCP0035,PRD003,2024-09-01,30,9,16,Medicaid,Sample,South
CLM000271,HCP0035,PRD006,2024-11-01,38,14,50,Cash,Claims,South
CLM000272,HCP0035,PRD008,2025-02-01,51,14,69,Commercial,Syndicated Rx,South
CLM000273,HCP0035,PRD002,2025-03-01,26,2,45,Medicare,Sample,South
CLM000274,HCP0035,PRD003,2025-04-01,36,10,32,Commercial,Sample,South
CLM000275,HCP0035,PRD002,2025-06-01,27,2,26,Commercial,Sample,South
CLM000276,HCP0035,PRD005,2025-08-01,24,11,28,Medicare,Sample,South
CLM000277,HCP0035,PRD003,2025-09-01,37,6,53,Medicare,Claims,South
CLM000278,HCP0035,PRD002,2025-10-01,21,8,22,Medicare,Claims,South
CLM000279,HCP0035,PRD010,2025-12-01,10,3,7,Cash,Sample,South
CLM000280,HCP0035,PRD008,2026-01-01,19,17,32,Medicaid,Sample,South
CLM000281,HCP0035,PRD010,2026-02-01,35,18,49,Medicare,Sample,South
CLM000282,HCP0035,PRD008,2026-03-01,43,7,15,Commercial,Sample,South
CLM000283,HCP0035,PRD002,2026-05-01,19,17,33,Medicaid,Syndicated Rx,South
CLM000284,HCP0019,PRD001,2024-03-01,36,3,34,Medicaid,Sample,South
CLM000285,HCP0019,PRD008,2024-04-01,30,6,43,Commercial,Syndicated Rx,South
CLM000286,HCP0019,PRD006,2024-05-01,19,8,24,Medicare,Syndicated Rx,South
CLM000287,HCP0019,PRD001,2024-06-01,33,10,21,Cash,Syndicated Rx,South
CLM000288,HCP0019,PRD001,2024-07-01,34,11,36,Medicaid,Syndicated Rx,South
CLM000289,HCP0019,PRD006,2024-08-01,40,4,48,Medicare,Claims,South
CLM000290,HCP0019,PRD003,2024-09-01,42,7,34,Cash,Claims,South
CLM000291,HCP0019,PRD007,2024-10-01,34,4,5,Medicare,Syndicated Rx,South
CLM000292,HCP0019,PRD007,2024-11-01,50,16,62,Medicaid,Syndicated Rx,South
CLM000293,HCP0019,PRD010,2024-12-01,53,17,20,Cash,Claims,South
CLM000294,HCP0019,PRD006,2025-01-01,14,1,31,Medicaid,Syndicated Rx,South
CLM000295,HCP0019,PRD004,2025-03-01,26,10,33,Medicaid,Sample,South
CLM000296,HCP0019,PRD006,2025-04-01,30,8,9,Cash,Claims,South
CLM000297,HCP0019,PRD003,2025-05-01,42,6,42,Medicare,Syndicated Rx,South
CLM000298,HCP0019,PRD001,2025-06-01,47,16,65,Cash,Claims,South
CLM000299,HCP0019,PRD009,2025-07-01,38,9,49,Medicare,Claims,South
CLM000300,HCP0019,PRD006,2025-08-01,36,10,50,Cash,Claims,South
CLM000301,HCP0019,PRD004,2025-09-01,24,10,30,Medicaid,Sample,South
CLM000302,HCP0019,PRD008,2025-10-01,46,8,49,Cash,Syndicated Rx,South
CLM000303,HCP0019,PRD004,2026-02-01,44,16,42,Medicare,Claims,South
CLM000304,HCP0019,PRD007,2026-04-01,23,7,12,Medicare,Claims,South
CLM000305,HCP0019,PRD010,2026-05-01,7,3,20,Commercial,Claims,South
CLM000306,HCP0018,PRD009,2024-02-01,8,2,13,Medicare,Claims,West
CLM000307,HCP0018,PRD007,2024-03-01,31,12,26,Medicare,Sample,West
CLM000308,HCP0018,PRD001,2024-04-01,12,4,21,Medicare,Claims,West
CLM000309,HCP0018,PRD006,2024-05-01,31,11,41,Cash,Sample,West
CLM000310,HCP0018,PRD007,2024-07-01,38,4,16,Cash,Sample,West
CLM000311,HCP0018,PRD004,2024-08-01,45,18,51,Medicaid,Syndicated Rx,West
CLM000312,HCP0018,PRD007,2024-09-01,12,7,21,Medicaid,Syndicated Rx,West
CLM000313,HCP0018,PRD010,2024-10-01,23,4,5,Commercial,Sample,West
CLM000314,HCP0018,PRD001,2025-01-01,49,15,15,Cash,Syndicated Rx,West
CLM000315,HCP0018,PRD007,2025-02-01,31,13,51,Medicare,Claims,West
CLM000316,HCP0018,PRD002,2025-03-01,32,6,41,Cash,Syndicated Rx,West
